start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2019-07-28 13:00:00,61.25,56.5,983.49786,2019-07-30 15:00:00,62.75,41.75
2019-07-31 22:00:00,67.0,70.0,976.82837,2019-08-05 06:00:00,63.5,44.25
2019-08-22 23:00:00,70.5,246.5,968.0746,2019-08-26 18:00:00,79.0,240.75
2019-08-31 21:00:00,62.0,359.0,982.2438,2019-09-03 12:00:00,70.25,0.75
2019-09-03 14:00:00,76.0,31.25,977.26556,2019-09-07 12:00:00,86.25,30.75
2019-09-04 15:00:00,90.0,356.5,980.8013,2019-09-08 12:00:00,65.0,330.0
2019-09-10 10:00:00,77.0,350.0,974.86475,2019-09-18 04:00:00,70.75,50.5
2019-09-19 07:00:00,60.0,323.75,976.75336,2019-09-27 02:00:00,60.0,345.0
2019-09-19 13:00:00,60.0,63.0,969.0859,2019-09-26 04:00:00,68.75,58.0
2019-09-23 18:00:00,63.25,261.0,972.65094,2019-09-28 11:00:00,61.75,272.25
2019-09-28 17:00:00,74.25,42.0,981.04266,2019-09-30 21:00:00,61.25,20.25
